supergrupo,Año,Ubicación,Detalle,Nombre grupo,ANIO,Color
Accu - Auc,01/01/1999,"7.878602, -76.626650","<p>Para 1999, el Bloque Bananero bajo el mando de Hebert Veloza García, alias ‘HH’, continuó delinquiendo en el Urabá, una región selvática estratégica para el tráfico de drogas y de armas ubicada en toda la esquina noroccidental de Colombia. En el Urabá viven cerca de medio millón de personas asentadas en 18 municipios de Antioquia, Chocó y Córdoba. En 1999, como parte de la expansión de las Auc, los hermanos Carlos y Vicente Castaño enviaron ‘paras’ desde allí a regiones como el Catatumbo y el Valle del Cauca para crear nuevos bloques paramilitares.</p>
<p>

A comienzos de año, el 8 de enero, el Bloque Bananero asesinó a 12 personas en dos masacres en Chigorodó y Apartadó municipios del Eje Bananero en el Urabá antioqueño, como parte de una retaliación de Carlos Castaño por un ataque que lanzaron las Farc a su campamento principal, en el Nudo del Paramillo. El 14 de junio también perpetraron una masacre, esta vez en Saiza, un caserío del municipio de Tierralta, Córdoba. Los ‘paras’ quemaron casi todas las viviendas, encerraron a mujeres y niños en la iglesia y asesinaron a 11 personas.
</p>",Bloque Bananero,1999,a
Accu - Auc,01/01/1999,"7.763178, -76.668587","<p>Para 1999, el Bloque Bananero bajo el mando de Hebert Veloza García, alias ‘HH’, continuó delinquiendo en el Urabá, una región selvática estratégica para el tráfico de drogas y de armas ubicada en toda la esquina noroccidental de Colombia. En el Urabá viven cerca de medio millón de personas asentadas en 18 municipios de Antioquia, Chocó y Córdoba. En 1999, como parte de la expansión de las Auc, los hermanos Carlos y Vicente Castaño enviaron ‘paras’ desde allí a regiones como el Catatumbo y el Valle del Cauca para crear nuevos bloques paramilitares.</p>
<p>
A comienzos de año, el 8 de enero, el Bloque Bananero asesinó a 12 personas en dos masacres en Chigorodó y Apartadó municipios del Eje Bananero en el Urabá antioqueño, como parte de una retaliación de Carlos Castaño por un ataque que lanzaron las Farc a su campamento principal, en el Nudo del Paramillo. El 14 de junio también perpetraron una masacre, esta vez en Saiza, un caserío del municipio de Tierralta, Córdoba. Los ‘paras’ quemaron casi todas las viviendas, encerraron a mujeres y niños en la iglesia y asesinaron a 11 personas.
</p>",Bloque Bananero,1999,a
Accu - Auc,01/01/1999,"7.666834, -76.684012","<p>Para 1999, el Bloque Bananero bajo el mando de Hebert Veloza García, alias ‘HH’, continuó delinquiendo en el Urabá, una región selvática estratégica para el tráfico de drogas y de armas ubicada en toda la esquina noroccidental de Colombia. En el Urabá viven cerca de medio millón de personas asentadas en 18 municipios de Antioquia, Chocó y Córdoba. En 1999, como parte de la expansión de las Auc, los hermanos Carlos y Vicente Castaño enviaron ‘paras’ desde allí a regiones como el Catatumbo y el Valle del Cauca para crear nuevos bloques paramilitares.</p>

<p>
A comienzos de año, el 8 de enero, el Bloque Bananero asesinó a 12 personas en dos masacres en Chigorodó y Apartadó municipios del Eje Bananero en el Urabá antioqueño, como parte de una retaliación de Carlos Castaño por un ataque que lanzaron las Farc a su campamento principal, en el Nudo del Paramillo. El 14 de junio también perpetraron una masacre, esta vez en Saiza, un caserío del municipio de Tierralta, Córdoba. Los ‘paras’ quemaron casi todas las viviendas, encerraron a mujeres y niños en la iglesia y asesinaron a 11 personas.
</p>",Bloque Bananero,1999,a
Accu - Auc,01/01/1999,"4.087089, -76.192236","<p>En 1999 los hermanos Carlos y Vicente Castaño, exjefes de las Auc, decidieron crear el Bloque Calima por petición de empresarios del Valle del Cauca y de narcotraficantes del Cartel del Norte del Valle  que querían blindarse de los ataques de la guerrilla y buscaban protección para sus negocios. El grupo paramilitar cometió todo tipo de crímenes contra la población civil, financiados por los empresarios y ‘narcos’ de la región.</p>

<p>
Este grupo paramilitar se creó al poco tiempo de que el Eln secuestrara masivamente a 200 feligreses de una iglesia en Cali. Procedentes del Urabá, los hombres de ‘HH’ se instalaron en Tulúa en julio. Un mes después, anunciando su llegada, comenzaron masacres allí, en Buga y en San Pedro.
</p>
<p>
Según documentó el Centro de Memoria Histórica en el informe ¡Basta Ya!, para la época el paramilitarismo comenzó una expansión geográfica hacia el suroccidente del país para disputarle el control de algunas regiones a las guerrillas.</p>",Bloque Calima,1999,a
Accu - Auc,01/01/1999,"3.909123, -76.297709","<p>En 1999 los hermanos Carlos y Vicente Castaño, exjefes de las Auc, decidieron crear el Bloque Calima por petición de empresarios del Valle del Cauca y de narcotraficantes del Cartel del Norte del Valle  que querían blindarse de los ataques de la guerrilla y buscaban protección para sus negocios. El grupo paramilitar cometió todo tipo de crímenes contra la población civil, financiados por los empresarios y ‘narcos’ de la región.
</p>
<p>
Este grupo paramilitar se creó al poco tiempo de que el Eln secuestrara masivamente a 200 feligreses de una iglesia en Cali. Procedentes del Urabá, los hombres de ‘HH’ se instalaron en Tulúa en julio. Un mes después, anunciando su llegada, comenzaron masacres allí, en Buga y en San Pedro.
</p>
<p>
Según documentó el Centro de Memoria Histórica en el informe ¡Basta Ya!, para la época el paramilitarismo comenzó una expansión geográfica hacia el suroccidente del país para disputarle el control de algunas regiones a las guerrillas.
</p>",Bloque Calima,1999,a
Accu - Auc,01/01/1999,"7.918910, -72.523456","<p>A finales de los años noventa, Carlos y Vicente Castaño crearon el Bloque Catatumbo con el fin de apropiarse de los negocios del narcotráfico y del contrabando fronterizo en Norte de Santander que controlaban las guerrillas del Eln, el Epl y las Farc. El grupo se conformó con cerca de 200 ‘paras’ que viajaron armados por tierra más de 500 km desde Urabá, Córdoba y Montes de María, sin que la fuerza pública se los impidiera.
</p>
<p>
Bajo las órdenes de Salvatore Mancuso, el Bloque Catatumbo ingresó al municipio de Tibú el 29 de mayo de 1999 y perpetró una masacre que marcó la entrada paramilitar en la región. Esta fue la primera de varias masacres que los ‘paras’ cometieron entre mayo y agosto de 1999 en la zona y que dejaron más de 100 personas asesinadas. Así comenzó un ciclo de constantes enfrentamientos, matanzas y desplazamientos. Mancuso puso en la jefatura del grupo al excapitán Armando Pérez, alias ‘Camilo’.
</p>
<p>
En el mes de julio, las bandas de criminales de Cúcuta comenzaron a actuar junto al Bloque Catatumbo en la capital nortesantandereana. El 21 de agosto de 1999, los ‘paras’ entraron a La Gabarra y asesinaron a unas 35 personas, el número es incierto porque  muchos cuerpos descuartizados fueron arrojados al río, con el propósito de adueñarse del complejo cocalero del municipio, para ese entonces dominado por las Farc.</p>",Bloque Catatumbo,1999,a
Accu - Auc,01/01/1999,"5.580854, -69.631345","<p>Para 1999 el Bloque Centauros de las Auc llevaba dos años delinquiendo principalmente en el sur del Meta, el norte del Guaviare y Vichada. Tres grupos paramilitares se dividieron el control de los Llanos Orientales: el Bloque Centauros; los ‘Carranceros’, conocido así por presuntos sus vínculos con el esmeraldero Víctor Carranza, y ‘Los Buitragueños’ o Autodefensas Campesinas de Casanare. Los tres grupos llegaron el 3 de mayo de 1999 al municipio de La Primavera, Vichada, y perpetraron una masacre.
</p>
<p>
Miguel Arroyave, alias ‘Arcángel’, un amigo narcotraficante de Vicente Castaño cayó preso por importar químicos para la producción de coca en el mismo mes de la masacre. Según documentó la periodista María Teresa Ronderos en su libro Guerras Recicladas, Arroyave se involucró con el Bloque Centauros desde la cárcel. En 2001 salió de la cárcel y al parecer le pagó seis millones de dólares a la llamada Casa Castaño para comprar la jefatura del grupo paramilitar.</p>",Bloque Centauros,1999,a
Accu - Auc,01/01/1999,"4.137365, -73.640148","<p>Para 1999 el Bloque Centauros de las Auc llevaba dos años delinquiendo principalmente en el sur del Meta, el norte del Guaviare y Vichada. Tres grupos paramilitares se dividieron el control de los Llanos Orientales: el Bloque Centauros; los ‘Carranceros’, conocido así por presuntos sus vínculos con el esmeraldero Víctor Carranza, y ‘Los Buitragueños’ o Autodefensas Campesinas de Casanare. Los tres grupos llegaron el 3 de mayo de 1999 al municipio de La Primavera, Vichada, y perpetraron una masacre.
</p>
<p>
Miguel Arroyave, alias ‘Arcángel’, un amigo narcotraficante de Vicente Castaño cayó preso por importar químicos para la producción de coca en el mismo mes de la masacre. Según documentó la periodista María Teresa Ronderos en su libro Guerras Recicladas, Arroyave se involucró con el Bloque Centauros desde la cárcel. En 2001 salió de la cárcel y al parecer le pagó seis millones de dólares a la llamada Casa Castaño para comprar la jefatura del grupo paramilitar.</p>",Bloque Centauros,1999,a
Accu - Auc,01/01/1999,"5.889540, -76.236713","<p>El grupo paramilitar, bajo el mando de Fredy Rendón Herrera, alias ‘El Alemán’, continuó financiándose de los negocios del narcotráfico y de la extorsión a empresarios y comerciantes en la región del Urabá antioqueño y chocoano, zona estratégica para la comercialización de narcóticos en la frontera con Panamá.
</p>
<p>
Desde 1995 se enfrentó a las guerrillas de las Farc y del Eln, perpetrando todo tipo de crímenes contra la población que civil que quedaba entre el fuego cruzado.</p>",Bloque Élmer Cárdenas,1999,a
Accu - Auc,01/01/1999,"1.806929, -78.769788","<p>Dentro del plan de expansión de las Auc estaba contemplado llegar a Nariño. Vicente Castaño le ordenó al jefe paramilitar y narcotraficante Diego Fernando Murillo, alias ‘Don Berna’, enviar un grupo de paramilitares a la zona en 1999. Poco antes, la guerrilla había lanzado dos ataques en la región costera nariñense, donde Las Farc y el Eln delinquían desde los años ochenta. Hacia finales de los noventa, durante las negociaciones con el gobierno Pastrana, la guerrilla aumentó hostilidades contra la fuerza pública y los pobladores más pudientes del territorio.
</p>
<p>
Según escribió la periodista María Teresa Ronderos en su libro Guerras Recicladas, recién llegados, los ‘paras’ consiguieron respaldo de la Capitanía y de la Alcaldía de Tumaco, el municipio más importante del Pacífico nariñense. Al finalizar el año, los ‘paras’ asesinaron a varias personas en las denominadas ‘limpiezas sociales’ e indiscriminadamente a militantes de la izquierda.</p>
",Bloque Libertadores del Sur,1999,a
Accu - Auc,01/01/1999,"1.362711, -77.602977","<p>Dentro del plan de expansión de las Auc estaba contemplado llegar a Nariño. Vicente Castaño le ordenó al jefe paramilitar y narcotraficante Diego Fernando Murillo, alias ‘Don Berna’, enviar un grupo de paramilitares a la zona en 1999. Poco antes, la guerrilla había lanzado dos ataques en la región costera nariñense, donde Las Farc y el Eln delinquían desde los años ochenta. Hacia finales de los noventa, durante las negociaciones con el gobierno Pastrana, la guerrilla aumentó hostilidades contra la fuerza pública y los pobladores más pudientes del territorio.
</p>
<p>
Según escribió la periodista María Teresa Ronderos en su libro Guerras Recicladas, recién llegados, los ‘paras’ consiguieron respaldo de la Capitanía y de la Alcaldía de Tumaco, el municipio más importante del Pacífico nariñense. Al finalizar el año, los ‘paras’ asesinaron a varias personas en las denominadas ‘limpiezas sociales’ e indiscriminadamente a militantes de la izquierda.</p>",Bloque Libertadores del Sur,1999,a
Accu - Auc,01/01/1999,"0.865549, -77.655906","<p>Dentro del plan de expansión de las Auc estaba contemplado llegar a Nariño. Vicente Castaño le ordenó al jefe paramilitar y narcotraficante Diego Fernando Murillo, alias ‘Don Berna’, enviar un grupo de paramilitares a la zona en 1999. Poco antes, la guerrilla había lanzado dos ataques en la región costera nariñense, donde Las Farc y el Eln delinquían desde los años ochenta. Hacia finales de los noventa, durante las negociaciones con el gobierno Pastrana, la guerrilla aumentó hostilidades contra la fuerza pública y los pobladores más pudientes del territorio.
</p>
<p>
Según escribió la periodista María Teresa Ronderos en su libro Guerras Recicladas, recién llegados, los ‘paras’ consiguieron respaldo de la Capitanía y de la Alcaldía de Tumaco, el municipio más importante del Pacífico nariñense. Al finalizar el año, los ‘paras’ asesinaron a varias personas en las denominadas ‘limpiezas sociales’ e indiscriminadamente a militantes de la izquierda.</p>",Bloque Libertadores del Sur,1999,a
Accu - Auc,01/01/1999,"6.301265, -74.841399","<p>El Bloque Metro continuó delinquiendo en el Nordeste Antioqueño, principalmente en Santo Domingo, donde desplazaron campesinos masivamente; en San Roque, municipio donde estableció el principal campamento del grupo, ubicado en el corregimiento de Cristales, y en Cisneros. También le disputó el territorio a la guerrilla en el Oriente Antioqueño, como en San Carlos y en otros poblados localizados al costado oriental de la autopista Medellín - Bogotá, pues en el occidente de la vía delinquían las Autodefensas Campesinas del Magdalena Medio de Ramón Isaza.
</p>
<p>
El 10 de enero de 1999, el Metro perpetró dos masacres en los municipios de Caracolí y de Peque, como parte de una venganza que Carlos Castaño, exjefe máximo de las Auc, había desatado en los primeros días del año por el ataque que las Farc lanzó a su campamento principal. Este grupo paramilitar también tenía influencia en los barrios populares de Medellín, donde desplegó grupos de jóvenes armados para que hicieran presencia en las zonas periféricas de la ciudad.</p>",Bloque Metro,1999,a
Accu - Auc,01/01/1999,"6.285537, -75.590199","<p>El Bloque Metro continuó delinquiendo en el Nordeste Antioqueño, principalmente en Santo Domingo, donde desplazaron campesinos masivamente; en San Roque, municipio donde estableció el principal campamento del grupo, ubicado en el corregimiento de Cristales, y en Cisneros. También le disputó el territorio a la guerrilla en el Oriente Antioqueño, como en San Carlos y en otros poblados localizados al costado oriental de la autopista Medellín - Bogotá, pues en el occidente de la vía delinquían las Autodefensas Campesinas del Magdalena Medio de Ramón Isaza.
</p>
<p>
El 10 de enero de 1999, el Metro perpetró dos masacres en los municipios de Caracolí y de Peque, como parte de una venganza que Carlos Castaño, exjefe máximo de las Auc, había desatado en los primeros días del año por el ataque que las Farc lanzó a su campamento principal. Este grupo paramilitar también tenía influencia en los barrios populares de Medellín, donde desplegó grupos de jóvenes armados para que hicieran presencia en las zonas periféricas de la ciudad.</p>",Bloque Metro,1999,a
Accu - Auc,01/01/1999,"6.483353, -74.914881","<p>El Bloque Metro continuó delinquiendo en el Nordeste Antioqueño, principalmente en Santo Domingo, donde desplazaron campesinos masivamente; en San Roque, municipio donde estableció el principal campamento del grupo, ubicado en el corregimiento de Cristales, y en Cisneros. También le disputó el territorio a la guerrilla en el Oriente Antioqueño, como en San Carlos y en otros poblados localizados al costado oriental de la autopista Medellín - Bogotá, pues en el occidente de la vía delinquían las Autodefensas Campesinas del Magdalena Medio de Ramón Isaza.
</p>
<p>
El 10 de enero de 1999, el Metro perpetró dos masacres en los municipios de Caracolí y de Peque, como parte de una venganza que Carlos Castaño, exjefe máximo de las Auc, había desatado en los primeros días del año por el ataque que las Farc lanzó a su campamento principal. Este grupo paramilitar también tenía influencia en los barrios populares de Medellín, donde desplegó grupos de jóvenes armados para que hicieran presencia en las zonas periféricas de la ciudad.</p>",Bloque Metro,1999,a
Accu - Auc,01/01/1999,"9.802094, -75.551589","<p>En 1999, hombres del Bloque Montes de María a cargo de Edwar Cobos Téllez, alias ‘Diego Vecino’, continuaron su expansión por la región conocida como Montes de María, perpetrando asesinatos, masacres y desplazamientos. En dos masacres en Zambrano y en el corregimiento Las Palmas de San Jacinto, los ‘paras’ asesinaron a 15 personas el 16 de agosto y el 27 de septiembre del mismo año respectivamente. Al menos 500 familias se desplazaron por estos hechos.
</p>
<p>
Durante ese año, como parte de la estrategia de expansión territorial de las Auc, hombres del Bloque Montes de María perpetraron una masacre entre los corregimientos de San Isidro y de Caracolí, en el municipio de El Carmen de Bolívar, donde fueron asesinadas 10 personas bajo las órdenes de Rodrigo Mercado Pelufo, alias ‘Cadena’.</p>",Bloque Montes de María,1999,a
Accu - Auc,01/01/1999,"9.481222, -75.357955","<p>En 1999, hombres del Bloque Montes de María a cargo de Edwar Cobos Téllez, alias ‘Diego Vecino’, continuaron su expansión por la región conocida como Montes de María, perpetrando asesinatos, masacres y desplazamientos. En dos masacres en Zambrano y en el corregimiento Las Palmas de San Jacinto, los ‘paras’ asesinaron a 15 personas el 16 de agosto y el 27 de septiembre del mismo año respectivamente. Al menos 500 familias se desplazaron por estos hechos.
</p><p>
Durante ese año, como parte de la estrategia de expansión territorial de las Auc, hombres del Bloque Montes de María perpetraron una masacre entre los corregimientos de San Isidro y de Caracolí, en el municipio de El Carmen de Bolívar, donde fueron asesinadas 10 personas bajo las órdenes de Rodrigo Mercado Pelufo, alias ‘Cadena’.</p>",Bloque Montes de María,1999,a
Accu - Auc,01/01/1999,"9.724354, -75.117648","<p>En 1999, hombres del Bloque Montes de María a cargo de Edwar Cobos Téllez, alias ‘Diego Vecino’, continuaron su expansión por la región conocida como Montes de María, perpetrando asesinatos, masacres y desplazamientos. En dos masacres en Zambrano y en el corregimiento Las Palmas de San Jacinto, los ‘paras’ asesinaron a 15 personas el 16 de agosto y el 27 de septiembre del mismo año respectivamente. Al menos 500 familias se desplazaron por estos hechos.
</p>
<p>
Durante ese año, como parte de la estrategia de expansión territorial de las Auc, hombres del Bloque Montes de María perpetraron una masacre entre los corregimientos de San Isidro y de Caracolí, en el municipio de El Carmen de Bolívar, donde fueron asesinadas 10 personas bajo las órdenes de Rodrigo Mercado Pelufo, alias ‘Cadena’.</p>",Bloque Montes de María,1999,a
Accu - Auc,01/01/1999,"9.743303, -74.824451","<p>En 1999, hombres del Bloque Montes de María a cargo de Edwar Cobos Téllez, alias ‘Diego Vecino’, continuaron su expansión por la región conocida como Montes de María, perpetrando asesinatos, masacres y desplazamientos. En dos masacres en Zambrano y en el corregimiento Las Palmas de San Jacinto, los ‘paras’ asesinaron a 15 personas el 16 de agosto y el 27 de septiembre del mismo año respectivamente. Al menos 500 familias se desplazaron por estos hechos.
</p>
<p>
Durante ese año, como parte de la estrategia de expansión territorial de las Auc, hombres del Bloque Montes de María perpetraron una masacre entre los corregimientos de San Isidro y de Caracolí, en el municipio de El Carmen de Bolívar, donde fueron asesinadas 10 personas bajo las órdenes de Rodrigo Mercado Pelufo, alias ‘Cadena’.</p>",Bloque Montes de María,1999,a
Accu - Auc,01/01/1999,"9.833298, -75.132754","<p>En 1999, hombres del Bloque Montes de María a cargo de Edwar Cobos Téllez, alias ‘Diego Vecino’, continuaron su expansión por la región conocida como Montes de María, perpetrando asesinatos, masacres y desplazamientos. En dos masacres en Zambrano y en el corregimiento Las Palmas de San Jacinto, los ‘paras’ asesinaron a 15 personas el 16 de agosto y el 27 de septiembre del mismo año respectivamente. Al menos 500 familias se desplazaron por estos hechos.
</p>
<p>
Durante ese año, como parte de la estrategia de expansión territorial de las Auc, hombres del Bloque Montes de María perpetraron una masacre entre los corregimientos de San Isidro y de Caracolí, en el municipio de El Carmen de Bolívar, donde fueron asesinadas 10 personas bajo las órdenes de Rodrigo Mercado Pelufo, alias ‘Cadena’.</p>",Bloque Montes de María,1999,a
Accu - Auc,01/01/1999,"10.467192, -74.613609","<p>En 1999, Rodrigo Tovar Pupo, alias ‘Jorge 40’, se convirtió en el jefe del Bloque Norte de las Auc por orden de Salvatore Mancuso y de Carlos Castaño. Aunque este grupo paramilitar tuvo origen en Norte de Santander, se expandió rápidamente hacia Pivijay, un municipio del departamento del Magdalena donde el Bloque Norte logró aliarse con organizaciones ilegales de seguridad, familias poderosas y grupos de poder político y económico de la región.
</p>
<p>
En 1999, ‘Jorge 40’ abrió una base paramilitar en el municipio de San Ángel, ubicada en los límites entre Magdalena y Cesar, desde donde las Auc proyectaron su expansión hacia el Atlántico. En el Cesar ‘Jorge 40’ tenía influencia desde hacía años por medio del Frente Juan Andrés Álvarez.
</p>
<p>
Rutas del Conflicto documentó siete masacres perpetradas por los ‘paras’ del Bloque Norte en Cesar, La Guajira y Magdalena durante el año 2000, como la masacre de El Piñón, a comienzos del año, en la que 27 personas fueron descuartizadas. Según publicó el Centro de Memoria Histórica en el informe ¡Basta Ya!, estos hechos en El Piñón hicieron parte de una ofensiva que Castaño lanzó como retaliación a un ataque que hizo la guerrilla de las Farc en diciembre de 1998 al campamento central de las Auc.</p>",Bloque Norte,1999,a
